"UF de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total";"Ano"
"Roraima";3;11;4;0;1;2;0;0;0;0;0;21;2015
"Pará";19;77;33;18;25;63;38;3;4;5;1;286;2015
"Tocantins";21;61;13;9;8;50;28;3;0;4;1;198;2015
"Maranhão";80;180;43;19;23;139;84;11;11;8;3;601;2015
"Piauí";24;53;15;8;8;64;48;9;3;5;2;239;2015
"Ceará";45;105;39;12;26;130;111;10;14;11;7;510;2015
"Rio Grande do Norte";1;8;4;3;6;31;17;2;1;5;3;81;2015
"Paraíba";5;13;1;0;3;14;7;1;1;2;0;47;2015
"Pernambuco";8;44;23;5;10;47;24;3;3;8;0;175;2015
"Alagoas";2;14;2;5;6;10;7;1;0;0;0;47;2015
"Sergipe";4;11;7;2;2;20;15;0;2;3;0;66;2015
"Bahia";31;94;47;28;30;78;64;6;3;8;2;391;2015
"Minas Gerais";26;85;36;21;11;126;116;14;17;16;9;477;2015
"Espírito Santo";0;0;0;2;1;1;2;0;1;0;0;7;2015
"Rio de Janeiro";0;3;0;0;0;4;0;0;0;0;0;7;2015
"São Paulo";12;23;16;9;5;35;43;8;7;8;0;166;2015
"Paraná";1;1;0;0;0;3;0;0;0;0;0;5;2015
"Rio Grande do Sul";0;0;0;0;0;0;0;0;0;1;0;1;2015
"Mato Grosso do Sul";15;22;1;2;3;34;32;8;7;4;4;132;2015
"Mato Grosso";1;9;0;0;1;6;8;0;0;3;1;29;2015
"Goiás";5;19;3;3;2;11;11;0;0;2;0;56;2015
"Distrito Federal";1;1;0;0;3;6;1;0;0;1;1;14;2015
